k,BNF=1(kHz),BNF=2(kHz),BNF=3(kHz),BNF=4(kHz),BNF=5(kHz),BNF=6(kHz),BNF=7(kHz),BNF=8(kHz),BNF=9(kHz),BNF=10(kHz),BNF=11(kHz),BNF=12(kHz),BNF=13(kHz),BNF=14(kHz),BNF=15(kHz),BNF=16(kHz),BNF=17(kHz),BNF=18(kHz),BNF=19(kHz),BNF=20(kHz),BNF=21(kHz),BNF=22(kHz),BNF=23(kHz),BNF=24(kHz),BNF=25(kHz),BNF=26(kHz),VF(%),ASx(%),a(mm),ax(mm),ay(mm),az(mm),Band type,TPMS type,Solid Material,Medium,Shell thickness,t,CBG,BG exists?,Band Type
2.7,9.664042226,9.664253803,20.22743741,26.36509958,26.36794018,38.35614945,38.90212894,44.73810302,44.7383319,44.97867123,46.23719636,46.93161358,46.93264609,51.21068181,53.09377338,54.69158498,54.6956189,56.58793541,63.84425803,63.84620941,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
2.75,10.2117407,10.21194574,21.20789455,25.75783589,25.76074298,38.3297001,39.29986467,44.97432481,45.070983,45.07111916,45.63729749,46.96049078,46.96137372,50.56993028,53.05039514,54.73387916,54.73822166,56.45941835,63.54837487,63.549975,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
2.8,10.69679044,10.69698296,22.05331623,25.22278976,25.22575664,38.30715765,39.70078044,44.97063263,45.0701222,45.38095743,45.38115487,46.9485271,46.94921998,49.98840091,53.01352127,54.78127637,54.78591812,56.36902529,63.28294384,63.28420077,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
2.85,11.1022328,11.10240907,22.74218742,24.77770033,24.78071579,38.28905316,40.0896107,44.55149223,44.96767478,45.6643027,45.66471004,46.89784452,46.89829822,49.49730073,52.98397035,54.82778853,54.83269885,56.30663407,63.06158981,63.06254159,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
2.9,11.40990702,11.41006704,23.25334998,24.44131655,24.4443602,38.27581098,40.4383766,44.10976758,44.96551547,45.91386542,45.91457877,46.81477756,46.81492043,49.12387329,52.96239128,54.86703915,54.87216424,56.26582215,62.89506925,62.89578105,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
2.95,11.60284969,11.60299778,23.56848471,24.23101467,24.23405316,38.2677403,40.697032,43.79524371,44.96420123,46.11107717,46.11223016,46.71722843,46.71754496,48.89007498,52.94925407,54.89328893,54.8985534,56.24270804,62.79161442,62.79217382,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3,11.6686882,11.66883193,23.67501471,24.15938201,24.16240112,38.26502906,40.79618064,43.67745715,44.96376004,46.19819232,46.19970132,46.66308724,46.66375931,48.81043719,52.94484324,54.90252106,54.9078339,56.23522012,62.75651699,62.75702451,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.05,11.70174541,11.76837035,23.29012281,24.17464234,24.4897211,38.29987562,40.62933796,43.66120179,44.90787243,46.20209988,46.21421649,46.65303926,46.90450132,48.79687314,52.78699622,54.86770024,55.07999529,56.28244073,62.62568426,62.75591891,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.1,11.80005326,12.06162736,22.69186687,24.21117824,24.92536295,38.40409873,40.16890341,43.61267893,44.82642478,46.20915961,46.26150997,46.62020605,47.50221565,48.75670588,52.41837385,54.77477199,55.49163318,56.41258253,62.28604702,62.75259955,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.15,11.96234005,12.53243433,22.03935015,24.27139376,25.31052474,38.57656919,39.50102968,43.5326206,44.79931934,46.22050359,46.33778161,46.56318574,48.28952536,48.69159351,51.97013817,54.64585832,56.01175465,56.60355637,61.82780901,62.74695776,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
